BER,OSNR,InputPower
0.00178,30.1,-6.14
0.00166,28.7,-6.14
0.00191,28.7,-6.14
0.00176,29.6,-6.14
0.002,28.7,-6.14
0.00187,28.3,-6.14
0.00196,29.1,-6.14
0.00187,28.7,-6.14
0.00156,29.6,-6.72
0.0016,30.1,-6.72
0.00184,30.1,-6.72
0.00153,29.6,-6.72
0.00164,29.6,-6.72
0.00177,28.7,-6.72
0.00187,29.1,-6.72
0.0018,30.1,-6.71
0.00172,29.6,-6.71
0.00172,30.5,-6.71
0.00173,29.6,-6.71
0.00159,28.7,-6.71
0.00159,30.5,-6.71
0.00165,30.1,-6.71
0.00612,23.8,-9.03
0.00597,23.8,-9.01
0.00572,23.8,-8.99
0.00586,23.8,-9.01
0.0063,23.8,-9.05
0.00597,23.8,-9.0
0.00576,23.5,-9.03
0.00554,23.8,-9.0
0.00649,24.5,-8.97
0.00629,24.2,-9.0
0.00625,23.8,-9.0
0.00631,23.5,-8.99
0.00628,23.8,-8.99
0.00644,23.8,-9.01
0.00614,23.8,-8.99
0.00623,23.8,-9.03
0.00604,23.5,-9.03
0.00625,23.8,-8.99
0.00621,24.2,-9.05
0.00593,23.8,-9.0
0.00625,24.2,-9.01
0.00628,24.2,-8.99
0.00573,23.8,-9.0
0.00615,23.8,-8.99
0.00619,23.5,-8.99
0.00613,23.8,-9.0
0.00622,24.2,-9.09
0.00614,24.2,-9.1
0.00644,23.8,-9.09
0.00888,23.8,-9.25
0.00866,22.3,-9.2
0.00872,22.6,-9.22
0.00858,22.3,-9.2
0.00881,22.6,-9.23
0.00882,22.3,-9.26
0.00836,22.6,-9.23
0.0272,16.2,-9.67
0.0272,16.5,-9.67
0.0273,16.5,-9.7
0.0272,16.5,-9.65
0.0272,16.7,-9.68
0.0272,16.2,-9.68
0.0273,16.5,-9.69
0.0271,15.9,-9.65
0.0272,16.5,-9.67
0.0271,16.5,-9.68
0.0272,16.2,-9.68
0.0272,16.5,-9.69
0.0271,16.5,-9.69
0.0271,16.2,-9.68
0.0272,16.7,-9.61
0.0272,16.2,-9.65
0.0272,16.5,-9.7
0.00192,29.1,-6.16
0.00197,29.1,-6.16
0.00198,30.5,-6.16
0.00191,28.7,-6.2
0.00185,29.1,-6.15
0.00182,29.6,-6.16
0.00178,30.1,-6.76
0.00187,29.1,-6.76
0.00173,28.7,-6.74
0.00166,29.6,-6.76
0.00174,29.1,-6.73
0.00249,27.4,-8.09
0.00264,27.4,-8.13
0.00261,27.4,-8.19
0.00246,27.0,-8.13
0.00259,27.8,-8.13
0.00329,26.6,-8.58
0.00343,25.9,-8.59
0.00356,26.3,-8.59
0.00345,26.6,-8.58
0.00344,27.0,-8.6
0.00323,27.0,-8.62
0.00362,26.6,-8.6
0.00357,27.4,-8.58
0.00322,27.4,-8.57
0.00372,27.4,-8.57
0.00348,26.3,-8.6
0.00351,27.0,-8.62
0.00356,27.0,-8.59
0.0035,26.3,-8.6
0.00355,25.9,-8.59
0.00353,25.9,-8.59
0.0035,25.9,-8.58
0.00358,26.6,-8.57
0.0036,27.0,-8.57
0.00346,25.5,-8.59
0.00339,26.3,-8.6
0.00345,26.3,-8.58
0.00356,26.3,-8.62
0.00338,27.4,-8.58
0.00624,23.5,-9.06
0.00586,24.2,-9.03
0.00607,24.2,-9.09
0.00639,23.5,-9.05
0.00624,23.8,-9.08
0.00636,23.2,-9.06
0.00633,23.8,-9.06
0.0193,20.2,-9.51
0.0187,19.9,-9.5
0.0198,19.7,-9.49
0.0195,19.7,-9.46
0.0201,19.9,-9.44
0.0189,19.4,-9.5
0.0198,19.4,-9.46
0.0202,19.2,-9.53
0.0201,19.7,-9.5
0.0206,19.7,-9.46
0.0191,19.2,-9.49
0.02,19.4,-9.46
0.0188,19.4,-9.48
0.0199,19.7,-9.5
0.0203,19.7,-9.48
0.0196,19.7,-9.49
0.0196,19.7,-9.5
0.0192,19.7,-9.49
0.02,19.7,-9.48
0.0198,19.7,-9.51
0.0197,19.4,-9.51
0.0192,19.7,-9.53
0.0254,19.4,-9.58
0.0253,18.4,-9.58
0.0253,18.4,-9.58
0.0252,18.2,-9.59
0.0251,18.7,-9.57
0.0254,18.4,-9.57
0.00176,29.1,-6.16
0.0018,28.7,-6.13
0.00165,28.3,-6.21
0.00165,29.1,-6.16
0.00182,28.3,-6.16
0.00187,30.1,-6.16
0.00183,28.3,-6.74
0.00189,29.1,-6.74
0.00185,29.6,-6.74
0.00175,30.1,-6.74
0.00183,30.1,-6.74
0.00162,28.3,-6.74
0.00158,29.1,-6.73
0.00268,27.8,-8.16
0.00264,27.8,-8.14
0.00255,27.4,-8.14
0.00226,27.4,-8.15
0.00265,27.0,-8.14
0.00271,28.3,-8.13
0.00267,27.8,-8.13
0.00268,27.4,-8.15
0.0024,27.8,-8.14
0.00276,27.8,-8.16
0.00268,27.8,-8.15
0.00252,28.3,-8.15
0.00274,27.8,-8.16
0.00257,27.0,-8.14
0.00265,28.7,-8.14
0.00258,27.4,-8.15
0.00355,27.4,-8.5
0.00339,26.6,-8.58
0.00317,26.3,-8.58
