BER,OSNR,InputPower
0.001869769,28.7,-5.06
0.001863117,29.1,-5.06
0.001752128,29.1,-5.07
0.001862707,29.6,-5.06
0.001895324,29.1,-5.06
0.001746447,28.7,-5.06
0.001649364,28.3,-5.06
0.001886309,28.7,-5.06
0.001687358,28.3,-5.06
0.001957261,29.6,-5.07
0.001758901,29.1,-5.07
0.001909159,29.1,-5.07
0.001912742,29.1,-5.06
0.001719433,28.7,-5.06
0.001817359,29.6,-5.06
0.001926991,29.6,-5.06
0.002101242,29.6,-5.25
0.002011284,29.1,-5.26
0.00182769,28.7,-5.26
0.00181375,28.7,-5.26
0.002347926,27.4,-5.48
0.00240834,29.1,-5.48
0.002718918,27.8,-5.75
0.002750612,27.4,-5.74
0.002611159,27.4,-5.74
0.002691885,27.0,-5.88
0.002718175,28.3,-5.88
0.002941934,28.3,-5.88
0.002773551,28.3,-5.88
0.003357013,26.6,-6.04
0.003207834,27.8,-6.06
0.003720908,25.9,-6.43
0.003447227,26.3,-6.43
0.003472939,24.8,-6.43
0.004704294,24.5,-6.87
0.004931275,24.5,-6.88
0.00490991,24.8,-6.87
0.00589753,23.8,-7.38
0.005775653,23.8,-7.38
0.006946377,23.8,-7.65
0.007188376,22.6,-7.64
0.007601842,22.9,-7.93
0.007530115,22.6,-7.93
0.008203488,23.5,-7.93
0.008066273,22.9,-7.93
0.007931346,22.6,-8.06
0.008614502,22.6,-8.04
0.008111786,22.9,-8.06
0.008567471,22.1,-8.16
0.008500419,22.3,-8.16
0.009125357,22.1,-8.16
0.009632158,21.2,-8.42
0.01004998,21.5,-8.41
0.009492069,22.1,-8.41
0.01032825,21.5,-8.41
0.01045773,21.8,-8.41
0.0105652,21.5,-8.53
0.01100446,21.2,-8.54
0.01209799,21.0,-8.71
0.01183655,21.0,-8.72
0.01122268,21.2,-8.71
0.01265986,21.0,-8.9
0.01335889,21.0,-8.9
0.01454979,20.4,-9.11
0.01472958,21.0,-9.1
0.01735715,20.2,-9.44
0.01720735,19.7,-9.44
0.01890913,21.0,-9.1
0.01993861,19.4,-9.71
0.02032465,19.4,-9.86
0.02123041,18.9,-9.84
0.02178969,19.4,-9.71
0.02243559,19.4,-9.86
0.001948586,30.1,-5.02
0.001820756,29.6,-5.02
0.001792623,28.7,-5.02
0.001747426,29.6,-5.02
0.002007947,28.3,-5.04
0.001804033,28.7,-5.02
0.00171823,29.1,-5.02
0.002843191,27.0,-6.02
0.003206765,27.0,-6.02
0.003273293,26.6,-6.02
0.004735734,25.2,-6.84
0.004972614,24.5,-6.84
0.005845246,24.2,-7.35
0.00583621,23.5,-7.35
0.005668378,23.8,-7.33
0.006300737,24.2,-7.35
0.002731284,27.8,-5.7
0.002427005,27.0,-5.7
0.002752865,27.4,-5.7
0.003245376,27.4,-6.01
0.00284046,27.0,-6.01
0.004769055,24.8,-6.84
0.00447996,24.5,-6.83
0.004933831,25.9,-6.84
0.004772571,25.2,-6.83
0.004342632,25.5,-6.84
0.005858798,23.5,-7.35
0.006029237,23.8,-7.33
0.005582194,24.2,-7.33
0.005634399,23.8,-7.33
0.006171207,24.2,-7.33
0.008121612,22.3,-7.89
0.00753423,22.6,-7.89
0.008004193,22.6,-7.89
0.008048591,22.6,-7.9
0.009285588,22.1,-8.19
0.008697554,22.3,-8.19
0.003208832,26.6,-6.01
0.003153439,27.4,-6.01
0.004780089,25.9,-6.84
0.004358352,25.9,-6.84
0.00439822,25.2,-6.84
0.004445684,25.5,-6.84
0.006027261,23.8,-7.33
0.005750353,24.5,-7.33
0.006170939,23.8,-7.33
0.006110243,24.2,-7.35
0.005894321,24.8,-7.35
0.007358601,22.3,-7.9
0.007296825,22.6,-7.9
0.008107519,22.6,-7.9
0.008079598,22.9,-7.9
0.007642884,22.6,-7.89
0.009248135,22.3,-8.18
0.008746609,22.1,-8.19
0.009288682,22.6,-8.19
0.009252473,22.1,-8.19
0.01093784,21.5,-8.51
0.01119231,21.8,-8.51
0.005022023,24.5,-6.84
0.004770538,25.5,-6.84
0.003268713,26.6,-6.02
0.003496009,26.3,-6.4
0.003916243,26.6,-6.4
0.003866864,26.6,-6.4
0.00389495,25.5,-6.39
0.006233091,24.2,-7.35
0.00604112,23.8,-7.35
0.006070968,24.2,-7.35
0.005763156,24.5,-7.35
0.007801525,22.9,-7.89
0.01072444,22.1,-8.51
0.01181023,21.2,-8.81
0.01434548,21.2,-9.08
