BER,OSNR,InputPower,Failures
2.31e-08,38.6,-19.2,0
1.72e-07,25.8,-19.2,0
2.31e-08,38.6,-19.2,0
1.71e-07,25.6,-19.2,0
1.78e-08,38.2,-19.2,0
1.69e-07,26.1,-19.2,0
2.34e-08,38.5,-19.2,0
1.7e-07,25.7,-19.2,0
2.43e-08,38.6,-19.2,0
1.72e-07,25.6,-19.2,0
2.45e-08,38.5,-19.6,0
1.73e-07,25.9,-19.6,0
2.49e-08,38.5,-19.6,0
1.91e-07,25.7,-19.6,0
2.47e-08,38.6,-19.6,0
1.99e-07,25.4,-19.6,0
2.47e-08,38.5,-19.6,0
1.95e-07,25.6,-19.6,0
2.45e-08,38.5,-19.6,0
1.94e-07,25.7,-19.6,0
2.39e-08,38.6,-19.6,0
1.96e-07,25.9,-19.6,0
1.97e-07,25.6,-19.6,0
1.85e-08,38.5,-19.6,0
2.55e-08,38.5,-19.6,0
1.46e-07,25.7,-19.6,0
2.4e-08,38.5,-19.6,0
1.92e-07,25.6,-19.6,0
2.41e-08,38.5,-19.6,0
1.93e-07,25.5,-19.6,0
1.92e-07,25.7,-19.6,0
2.39e-08,38.6,-19.6,0
1.94e-07,25.4,-19.6,0
2.51e-08,38.6,-19.6,0
2.54e-08,38.6,-19.6,0
1.92e-07,25.6,-19.6,0
2.47e-08,38.6,-19.6,0
1.92e-07,25.8,-19.6,0
1.92e-07,25.7,-19.6,0
2.49e-08,38.5,-19.6,0
2.52e-08,38.6,-19.6,0
1.91e-07,25.7,-19.6,0
1.93e-07,25.9,-19.6,0
2.37e-08,38.6,-19.6,0
2.52e-08,38.6,-19.6,0
1.91e-07,25.6,-19.6,0
1.92e-07,25.9,-20.1,0
2.46e-08,38.5,-20.1,0
1.94e-07,25.5,-20.1,0
2.48e-08,38.6,-20.1,0
2.42e-08,38.6,-20.1,0
2.21e-07,25.3,-20.1,0
2.25e-07,25.3,-20.1,0
2.53e-08,38.6,-20.1,0
2.21e-07,25.2,-20.1,0
2.57e-08,38.6,-20.1,0
2.57e-08,38.6,-20.1,0
2.23e-07,25.3,-20.1,0
2.23e-07,25.2,-20.1,0
2.55e-08,38.5,-20.1,0
2.25e-07,25.3,-20.1,0
1.92e-08,38.5,-20.1,0
2.54e-08,38.6,-20.1,0
2.25e-07,25.3,-20.1,0
2.46e-08,38.5,-20.1,0
2.25e-07,25.4,-20.1,0
2.21e-07,25.3,-20.1,0
2.4e-08,38.6,-20.1,0
2.47e-08,38.5,-20.1,0
2.23e-07,25.4,-20.1,0
2.41e-08,38.6,-20.1,0
2.17e-07,25.2,-20.1,0
2.23e-07,25.6,-20.1,0
2.45e-08,38.6,-20.1,0
2.22e-07,25.4,-20.1,0
2.43e-08,38.5,-20.1,0
2.18e-07,25.2,-20.1,0
2.41e-08,38.6,-20.1,0
2.32e-08,38.5,-20.1,0
2.2e-07,25.5,-20.1,0
2.21e-07,25.2,-20.1,0
2.47e-08,38.6,-20.1,0
2.43e-08,38.6,-20.1,0
2.19e-07,25.6,-20.1,0
2.21e-07,25.4,-20.6,0
2.29e-08,38.5,-20.6,0
2.35e-08,38.6,-20.6,0
2.29e-07,25.3,-20.6,0
2.31e-08,38.1,-20.6,0
2.66e-07,25.2,-20.6,0
2.34e-08,38.5,-20.6,0
2.64e-07,25.2,-20.6,0
2.29e-08,38.6,-20.6,0
2.66e-07,25.2,-20.6,0
2.18e-08,38.6,-20.6,0
2.62e-07,25.0,-20.6,0
2.22e-08,38.6,-20.6,0
2.63e-07,25.2,-20.6,0
2.25e-08,38.6,-20.6,0
2.64e-07,25.2,-20.6,0
2.49e-08,38.5,-20.6,0
2.64e-07,25.1,-20.6,0
2.66e-07,25.2,-20.6,0
2.36e-08,38.6,-20.6,0
2.46e-08,38.6,-20.6,0
2.64e-07,25.0,-20.6,0
2.36e-08,38.6,-20.6,0
2.63e-07,25.3,-20.6,0
2.36e-08,38.6,-20.6,0
2.59e-07,25.1,-20.6,0
2.3e-08,38.6,-20.6,0
2.6e-07,25.3,-20.6,0
2.35e-08,38.1,-20.6,0
2.63e-07,25.3,-20.6,0
2.34e-08,38.6,-20.6,0
2.6e-07,25.1,-20.6,0
2.64e-07,25.1,-20.6,0
2.39e-08,38.6,-20.6,0
2.43e-08,38.5,-20.6,0
2.62e-07,25.1,-20.6,0
2.6e-07,25.3,-20.6,0
2.31e-08,38.6,-20.6,0
2.21e-08,38.5,-21.0,0
2.59e-07,25.4,-21.0,0
2.24e-08,38.5,-21.0,0
2.8e-07,25.2,-21.0,0
3.18e-07,25.0,-21.0,0
2.32e-08,38.5,-21.0,0
2.29e-08,38.5,-21.0,0
3.18e-07,24.9,-21.0,0
2.37e-08,38.6,-21.0,0
3.19e-07,24.6,-21.0,0
2.22e-08,38.5,-21.0,0
3.19e-07,24.7,-21.0,0
2.24e-08,38.6,-21.0,0
3.16e-07,24.9,-21.0,0
3.15e-07,24.9,-21.0,0
2.32e-08,38.6,-21.0,0
3.17e-07,25.0,-21.0,0
2.31e-08,38.6,-21.0,0
2.23e-08,38.6,-21.0,0
3.2e-07,24.9,-21.0,0
3.17e-07,25.0,-21.0,0
2.25e-08,38.6,-21.0,0
3.12e-07,25.0,-21.0,0
2.18e-08,38.6,-21.0,0
3.15e-07,24.9,-21.0,0
2.22e-08,38.6,-21.0,0
3.15e-07,25.0,-21.0,0
2.19e-08,38.5,-21.0,0
3.18e-07,24.9,-21.0,0
2.18e-08,38.6,-21.0,0
3.15e-07,25.0,-21.0,0
2.23e-08,38.6,-21.0,0
2.26e-08,38.5,-21.0,0
3.16e-07,24.8,-21.0,0
2.35e-08,38.6,-21.0,0
3.14e-07,24.9,-21.0,0
2.32e-08,38.6,-21.0,0
3.1e-07,24.9,-21.0,0
2.27e-08,38.6,-20.6,0
3.16e-07,25.1,-20.6,0
1.75e-08,38.5,-20.6,0
2.79e-07,25.1,-20.6,0
2.3e-08,38.6,-20.6,0
2.6e-07,25.3,-20.6,0
2.61e-07,25.0,-20.6,0
2.29e-08,38.6,-20.6,0
2.58e-07,25.2,-20.6,0
2.3e-08,38.5,-20.6,0
2.33e-08,38.5,-20.6,0
2.57e-07,25.0,-20.6,0
2.56e-07,25.3,-20.6,0
2.29e-08,38.5,-20.6,0
2.3e-08,38.5,-20.6,0
