Timestamp,ID,BER,OSNR,Failure
1624457562,SPO1/18/11,2.31e-08,38.6,0
1624457562,SPO2/18/11,1.72e-07,25.8,0
1624457565,SPO1/18/11,2.31e-08,38.6,0
1624457565,SPO2/18/11,1.71e-07,25.6,0
1624457569,SPO1/18/11,1.78e-08,38.2,0
1624457569,SPO2/18/11,1.69e-07,26.1,0
1624457572,SPO1/18/11,2.34e-08,38.5,0
1624457572,SPO2/18/11,1.7e-07,25.7,0
1624457575,SPO1/18/11,2.43e-08,38.6,0
1624457575,SPO2/18/11,1.72e-07,25.6,0
1624457578,SPO1/18/11,2.45e-08,38.5,0
1624457578,SPO2/18/11,1.73e-07,25.9,0
1624457581,SPO1/18/11,2.49e-08,38.5,0
1624457582,SPO2/18/11,1.91e-07,25.7,0
1624457585,SPO1/18/11,2.47e-08,38.6,0
1624457585,SPO2/18/11,1.99e-07,25.4,0
1624457588,SPO1/18/11,2.47e-08,38.5,0
1624457588,SPO2/18/11,1.95e-07,25.6,0
1624457591,SPO1/18/11,2.45e-08,38.5,0
1624457591,SPO2/18/11,1.94e-07,25.7,0
1624457594,SPO1/18/11,2.39e-08,38.6,0
1624457594,SPO2/18/11,1.96e-07,25.9,0
1624457598,SPO2/18/11,1.97e-07,25.6,0
1624457598,SPO1/18/11,1.85e-08,38.5,0
1624457601,SPO1/18/11,2.55e-08,38.5,0
1624457601,SPO2/18/11,1.46e-07,25.7,0
1624457604,SPO1/18/11,2.4e-08,38.5,0
1624457604,SPO2/18/11,1.92e-07,25.6,0
1624457607,SPO1/18/11,2.41e-08,38.5,0
1624457607,SPO2/18/11,1.93e-07,25.5,0
1624457610,SPO2/18/11,1.92e-07,25.7,0
1624457610,SPO1/18/11,2.39e-08,38.6,0
1624457614,SPO2/18/11,1.94e-07,25.4,0
1624457614,SPO1/18/11,2.51e-08,38.6,0
1624457617,SPO1/18/11,2.54e-08,38.6,0
1624457617,SPO2/18/11,1.92e-07,25.6,0
1624457620,SPO1/18/11,2.47e-08,38.6,0
1624457620,SPO2/18/11,1.92e-07,25.8,0
1624457623,SPO2/18/11,1.92e-07,25.7,0
1624457623,SPO1/18/11,2.49e-08,38.5,0
1624457626,SPO1/18/11,2.52e-08,38.6,0
1624457626,SPO2/18/11,1.91e-07,25.7,0
1624457630,SPO2/18/11,1.93e-07,25.9,0
1624457630,SPO1/18/11,2.37e-08,38.6,0
1624457633,SPO1/18/11,2.52e-08,38.6,0
1624457633,SPO2/18/11,1.91e-07,25.6,0
1624457636,SPO2/18/11,1.92e-07,25.9,0
1624457636,SPO1/18/11,2.46e-08,38.5,0
1624457639,SPO2/18/11,1.94e-07,25.5,0
1624457639,SPO1/18/11,2.48e-08,38.6,0
1624457643,SPO1/18/11,2.42e-08,38.6,0
1624457643,SPO2/18/11,2.21e-07,25.3,0
1624457646,SPO2/18/11,2.25e-07,25.3,0
1624457646,SPO1/18/11,2.53e-08,38.6,0
1624457649,SPO2/18/11,2.21e-07,25.2,0
1624457649,SPO1/18/11,2.57e-08,38.6,0
1624457652,SPO1/18/11,2.57e-08,38.6,0
1624457652,SPO2/18/11,2.23e-07,25.3,0
1624457655,SPO2/18/11,2.23e-07,25.2,0
1624457655,SPO1/18/11,2.55e-08,38.5,0
1624457659,SPO2/18/11,2.25e-07,25.3,0
1624457659,SPO1/18/11,1.92e-08,38.5,0
1624457662,SPO1/18/11,2.54e-08,38.6,0
1624457662,SPO2/18/11,2.25e-07,25.3,0
1624457665,SPO1/18/11,2.46e-08,38.5,0
1624457665,SPO2/18/11,2.25e-07,25.4,0
1624457668,SPO2/18/11,2.21e-07,25.3,0
1624457668,SPO1/18/11,2.4e-08,38.6,0
1624457671,SPO1/18/11,2.47e-08,38.5,0
1624457671,SPO2/18/11,2.23e-07,25.4,0
1624457675,SPO1/18/11,2.41e-08,38.6,0
1624457675,SPO2/18/11,2.17e-07,25.2,0
1624457678,SPO2/18/11,2.23e-07,25.6,0
1624457678,SPO1/18/11,2.45e-08,38.6,0
1624457681,SPO2/18/11,2.22e-07,25.4,0
1624457681,SPO1/18/11,2.43e-08,38.5,0
1624457684,SPO2/18/11,2.18e-07,25.2,0
1624457684,SPO1/18/11,2.41e-08,38.6,0
1624457688,SPO1/18/11,2.32e-08,38.5,0
1624457688,SPO2/18/11,2.2e-07,25.5,0
1624457691,SPO2/18/11,2.21e-07,25.2,0
1624457691,SPO1/18/11,2.47e-08,38.6,0
1624457694,SPO1/18/11,2.43e-08,38.6,0
1624457694,SPO2/18/11,2.19e-07,25.6,0
1624457697,SPO2/18/11,2.21e-07,25.4,0
1624457697,SPO1/18/11,2.29e-08,38.5,0
1624457700,SPO1/18/11,2.35e-08,38.6,0
1624457700,SPO2/18/11,2.29e-07,25.3,0
1624457704,SPO1/18/11,2.31e-08,38.1,0
1624457704,SPO2/18/11,2.66e-07,25.2,0
1624457707,SPO1/18/11,2.34e-08,38.5,0
1624457707,SPO2/18/11,2.64e-07,25.2,0
1624457710,SPO1/18/11,2.29e-08,38.6,0
1624457710,SPO2/18/11,2.66e-07,25.2,0
1624457713,SPO1/18/11,2.18e-08,38.6,0
1624457713,SPO2/18/11,2.62e-07,25.0,0
1624457716,SPO1/18/11,2.22e-08,38.6,0
1624457716,SPO2/18/11,2.63e-07,25.2,0
1624457720,SPO1/18/11,2.25e-08,38.6,0
1624457720,SPO2/18/11,2.64e-07,25.2,0
1624457723,SPO1/18/11,2.49e-08,38.5,0
1624457723,SPO2/18/11,2.64e-07,25.1,0
1624457726,SPO2/18/11,2.66e-07,25.2,0
1624457726,SPO1/18/11,2.36e-08,38.6,0
1624457729,SPO1/18/11,2.46e-08,38.6,0
1624457729,SPO2/18/11,2.64e-07,25.0,0
1624457733,SPO1/18/11,2.36e-08,38.6,0
1624457733,SPO2/18/11,2.63e-07,25.3,0
1624457736,SPO1/18/11,2.36e-08,38.6,0
1624457736,SPO2/18/11,2.59e-07,25.1,0
1624457739,SPO1/18/11,2.3e-08,38.6,0
1624457739,SPO2/18/11,2.6e-07,25.3,0
1624457742,SPO1/18/11,2.35e-08,38.1,0
1624457742,SPO2/18/11,2.63e-07,25.3,0
1624457745,SPO1/18/11,2.34e-08,38.6,0
1624457745,SPO2/18/11,2.6e-07,25.1,0
1624457749,SPO2/18/11,2.64e-07,25.1,0
1624457749,SPO1/18/11,2.39e-08,38.6,0
1624457752,SPO1/18/11,2.43e-08,38.5,0
1624457752,SPO2/18/11,2.62e-07,25.1,0
1624457755,SPO2/18/11,2.6e-07,25.3,0
1624457755,SPO1/18/11,2.31e-08,38.6,0
1624457758,SPO1/18/11,2.21e-08,38.5,0
1624457758,SPO2/18/11,2.59e-07,25.4,0
1624457761,SPO1/18/11,2.24e-08,38.5,0
1624457761,SPO2/18/11,2.8e-07,25.2,0
1624457765,SPO2/18/11,3.18e-07,25.0,0
1624457765,SPO1/18/11,2.32e-08,38.5,0
1624457768,SPO1/18/11,2.29e-08,38.5,0
1624457768,SPO2/18/11,3.18e-07,24.9,0
1624457771,SPO1/18/11,2.37e-08,38.6,0
1624457771,SPO2/18/11,3.19e-07,24.6,0
1624457774,SPO1/18/11,2.22e-08,38.5,0
1624457774,SPO2/18/11,3.19e-07,24.7,0
1624457778,SPO1/18/11,2.24e-08,38.6,0
1624457778,SPO2/18/11,3.16e-07,24.9,0
1624457781,SPO2/18/11,3.15e-07,24.9,0
1624457781,SPO1/18/11,2.32e-08,38.6,0
1624457784,SPO2/18/11,3.17e-07,25.0,0
1624457784,SPO1/18/11,2.31e-08,38.6,0
1624457787,SPO1/18/11,2.23e-08,38.6,0
1624457787,SPO2/18/11,3.2e-07,24.9,0
1624457790,SPO2/18/11,3.17e-07,25.0,0
1624457790,SPO1/18/11,2.25e-08,38.6,0
1624457794,SPO2/18/11,3.12e-07,25.0,0
1624457794,SPO1/18/11,2.18e-08,38.6,0
1624457797,SPO2/18/11,3.15e-07,24.9,0
1624457797,SPO1/18/11,2.22e-08,38.6,0
1624457800,SPO2/18/11,3.15e-07,25.0,0
1624457800,SPO1/18/11,2.19e-08,38.5,0
1624457803,SPO2/18/11,3.18e-07,24.9,0
1624457803,SPO1/18/11,2.18e-08,38.6,0
1624457807,SPO2/18/11,3.15e-07,25.0,0
1624457807,SPO1/18/11,2.23e-08,38.6,0
1624457810,SPO1/18/11,2.26e-08,38.5,0
1624457810,SPO2/18/11,3.16e-07,24.8,0
1624457813,SPO1/18/11,2.35e-08,38.6,0
1624457813,SPO2/18/11,3.14e-07,24.9,0
1624457816,SPO1/18/11,2.32e-08,38.6,0
1624457816,SPO2/18/11,3.1e-07,24.9,0
1624457819,SPO1/18/11,2.27e-08,38.6,0
1624457819,SPO2/18/11,3.16e-07,25.1,0
1624457823,SPO1/18/11,1.75e-08,38.5,0
1624457823,SPO2/18/11,2.79e-07,25.1,0
1624457826,SPO1/18/11,2.3e-08,38.6,0
1624457826,SPO2/18/11,2.6e-07,25.3,0
1624457829,SPO2/18/11,2.61e-07,25.0,0
1624457829,SPO1/18/11,2.29e-08,38.6,0
1624457832,SPO2/18/11,2.58e-07,25.2,0
1624457832,SPO1/18/11,2.3e-08,38.5,0
1624457835,SPO1/18/11,2.33e-08,38.5,0
1624457835,SPO2/18/11,2.57e-07,25.0,0
1624457839,SPO2/18/11,2.56e-07,25.3,0
1624457839,SPO1/18/11,2.29e-08,38.5,0
1624457842,SPO1/18/11,2.3e-08,38.5,0
1624457842,SPO2/18/11,2.57e-07,25.2,0
1624457845,SPO1/18/11,2.29e-08,38.6,0
1624457845,SPO2/18/11,2.59e-07,25.0,0
1624457848,SPO1/18/11,2.24e-08,38.6,0
1624457848,SPO2/18/11,2.58e-07,25.2,0
1624457852,SPO1/18/11,1.72e-08,38.5,0
1624457852,SPO2/18/11,2.58e-07,25.1,0
1624457855,SPO2/18/11,2.58e-07,25.1,0
1624457855,SPO1/18/11,2.33e-08,38.6,0
1624457858,SPO1/18/11,2.37e-08,38.6,0
1624457858,SPO2/18/11,2.57e-07,25.0,0
1624457861,SPO2/18/11,2.58e-07,25.1,0
1624457861,SPO1/18/11,2.37e-08,38.6,0
1624457864,SPO2/18/11,2.57e-07,25.4,0
1624457864,SPO1/18/11,2.42e-08,38.5,0
1624457868,SPO2/18/11,2.58e-07,25.4,0
1624457868,SPO1/18/11,2.46e-08,38.6,0
1624457871,SPO1/18/11,2.5e-08,38.6,0
1624457871,SPO2/18/11,2.56e-07,24.9,0
1624457874,SPO1/18/11,2.44e-08,38.5,0
1624457874,SPO2/18/11,2.58e-07,25.1,0
1624457877,SPO2/18/11,2.59e-07,25.0,0
1624457877,SPO1/18/11,2.44e-08,38.6,0
1624457881,SPO2/18/11,2.58e-07,24.9,0
1624457881,SPO1/18/11,3e-08,38.6,0
1624457884,SPO2/18/11,2.19e-07,25.1,0
1624457884,SPO1/18/11,2.42e-08,38.5,0
1624457887,SPO1/18/11,2.34e-08,38.6,0
1624457887,SPO2/18/11,2.16e-07,25.2,0
1624457890,SPO2/18/11,2.18e-07,25.6,0
1624457890,SPO1/18/11,2.3e-08,38.6,0
1624457893,SPO1/18/11,2.42e-08,38.6,0
1624457893,SPO2/18/11,2.14e-07,25.4,0
1624457897,SPO2/18/11,2.16e-07,25.4,0
1624457897,SPO1/18/11,2.43e-08,38.5,0
1624457900,SPO1/18/11,2.36e-08,38.5,0
1624457900,SPO2/18/11,2.17e-07,25.2,0
1624457903,SPO1/18/11,2.3e-08,38.6,0
1624457903,SPO2/18/11,2.17e-07,25.5,0
1624457906,SPO1/18/11,2.44e-08,38.6,0
1624457906,SPO2/18/11,2.18e-07,25.3,0
1624457909,SPO1/18/11,2.3e-08,38.6,0
1624457909,SPO2/18/11,2.17e-07,25.2,0
1624457913,SPO1/18/11,2.31e-08,38.6,0
1624457913,SPO2/18/11,2.21e-07,25.6,0
1624457916,SPO1/18/11,2.26e-08,38.6,0
